 tempo     90  90_std        dia tipo_vento
105.54  46.56    0.12 2006-04-15 meridional
106.54  62.98    0.57 2006-04-16 meridional
107.54  24.61    1.09 2006-04-17 meridional
108.54  53.52    0.61 2006-04-18 meridional
109.54  -5.17    1.18 2006-04-19 meridional
110.54  -8.83    0.07 2006-04-20 meridional
111.54 -12.11    0.30 2006-04-21 meridional
112.54  50.08    0.69 2006-04-22 meridional
113.54  20.66    0.18 2006-04-23 meridional
114.54   5.91    0.47 2006-04-24 meridional
115.54  25.99    0.05 2006-04-25 meridional
116.54  29.04    0.45 2006-04-26 meridional
117.54  48.86    0.54 2006-04-27 meridional
118.54   8.87    0.09 2006-04-28 meridional
119.54   7.40    0.45 2006-04-29 meridional
120.50 -21.40    0.58 2006-04-30 meridional
121.54  76.89    0.37 2006-05-01 meridional
122.54 -13.41    0.45 2006-05-02 meridional
123.54 -29.67    0.03 2006-05-03 meridional
124.54 -12.09    0.61 2006-05-04 meridional
130.54  16.37    0.29 2006-05-10 meridional
131.54 -26.36    0.07 2006-05-11 meridional
132.54 -36.02    0.10 2006-05-12 meridional
133.54  22.68    0.07 2006-05-13 meridional
134.54  -7.35    0.12 2006-05-14 meridional
135.54 -35.03    0.01 2006-05-15 meridional
136.54 -24.58    0.19 2006-05-16 meridional
137.54  -3.00    0.09 2006-05-17 meridional
138.54 -30.78    0.34 2006-05-18 meridional
139.54 -31.94    0.39 2006-05-19 meridional
140.54  11.90    0.47 2006-05-20 meridional
141.54 -24.07    0.08 2006-05-21 meridional
142.54  -0.57    0.18 2006-05-22 meridional
143.54  -5.11    0.41 2006-05-23 meridional
144.54  21.86    0.19 2006-05-24 meridional
145.54 -18.33    0.11 2006-05-25 meridional
146.54  25.12    0.76 2006-05-26 meridional
147.54 -25.89    0.28 2006-05-27 meridional
148.54  29.34    0.12 2006-05-28 meridional
149.54 -19.45    0.05 2006-05-29 meridional
150.54  20.42    0.59 2006-05-30 meridional
151.50   1.79    0.34 2006-05-31 meridional
152.54 -16.93    0.70 2006-06-01 meridional
153.54 -24.03    0.47 2006-06-02 meridional
154.54  24.03    0.07 2006-06-03 meridional
155.54  32.45    0.37 2006-06-04 meridional
156.54  -3.13    0.59 2006-06-05 meridional
157.54  32.46    0.14 2006-06-06 meridional
158.54  -9.26    0.00 2006-06-07 meridional
159.54   7.79    0.07 2006-06-08 meridional
160.54  23.58    0.07 2006-06-09 meridional
161.54 -25.43    0.19 2006-06-10 meridional
162.54 -37.01    0.16 2006-06-11 meridional
163.54 -69.52    1.27 2006-06-12 meridional
164.54  -3.97    0.51 2006-06-13 meridional
165.54    NaN    0.00 2006-06-14 meridional
166.54 -59.45    0.01 2006-06-15 meridional
167.54  12.50    0.20 2006-06-16 meridional
168.54   7.64    0.21 2006-06-17 meridional
169.54 -22.42    0.14 2006-06-18 meridional
170.54   9.77    0.13 2006-06-19 meridional
171.54 -19.44    0.90 2006-06-20 meridional
172.54  25.49    0.25 2006-06-21 meridional
173.54 -23.33    0.51 2006-06-22 meridional
174.54  27.83    0.06 2006-06-23 meridional
175.54 -41.11    1.04 2006-06-24 meridional
176.54  -4.12    0.31 2006-06-25 meridional
177.54 -21.13    0.14 2006-06-26 meridional
178.54  10.34    0.02 2006-06-27 meridional
179.54 -25.14    0.35 2006-06-28 meridional
180.54 -28.55    0.23 2006-06-29 meridional
181.50  28.90    0.21 2006-06-30 meridional
182.54  14.08    0.33 2006-07-01 meridional
183.54   5.78    1.00 2006-07-02 meridional
184.54  20.23    0.26 2006-07-03 meridional
